Time,Status
2025-07-04 16:40:26,1 face(s) detected
2025-07-04 16:40:27,1 face(s) detected
2025-07-04 16:40:28,1 face(s) detected
2025-07-04 16:40:29,1 face(s) detected
2025-07-04 16:40:30,1 face(s) detected
2025-07-04 16:40:31,1 face(s) detected
2025-07-04 16:40:32,1 face(s) detected
2025-07-04 16:40:33,1 face(s) detected
2025-07-04 16:40:34,1 face(s) detected
2025-07-04 16:40:35,1 face(s) detected
2025-07-04 16:40:36,1 face(s) detected
2025-07-04 16:40:37,1 face(s) detected
2025-07-04 16:40:38,1 face(s) detected
2025-07-04 16:40:39,1 face(s) detected
2025-07-04 16:40:40,1 face(s) detected
2025-07-04 16:40:41,1 face(s) detected
